id,name,division,lon,lat
468,La Palma del Condado,Andalucía,-6.555504,37.40276
469,Manzanilla,Andalucía,-6.447943,37.4034
470,Niebla,Andalucía,-6.678507,37.43479
471,Paterna del Campo,Andalucía,-6.465425,37.47193
472,Rociana del Condado,Andalucía,-6.617307,37.29084
473,San Juan del Puerto,Andalucía,-6.842579,37.34109
474,Trigueros,Andalucía,-6.848591,37.41396
475,Villalba del Alcor,Andalucía,-6.493309,37.40249
476,Villarrasa,Andalucía,-6.628074,37.40085
477,Fuensanta de Martos,Andalucía,-3.91165,37.63109
478,Fuerte del Rey,Andalucía,-3.901638,37.90202
479,Higuera de Calatrava,Andalucía,-4.153785,37.79562
480,Jaén,Andalucía,-3.751263,37.80926
481,Jamilena,Andalucía,-3.916293,37.73864
482,La Guardia de Jaén,Andalucía,-3.698712,37.7523
483,Los Villares,Andalucía,-3.837375,37.68487
484,Mancha Real,Andalucía,-3.610301,37.83567
485,Martos,Andalucía,-4.017969,37.68976
486,Mengíbar,Andalucía,-3.808133,37.96235
487,Porcuna,Andalucía,-4.205281,37.85689
488,Santiago de Calatrava,Andalucía,-4.1895,37.74003
489,Torre del Campo,Andalucía,-3.912624,37.82598
490,Torreblascopedro,Andalucía,-3.660622,37.98423
491,Torredonjimeno,Andalucía,-4.043774,37.79495
492,Villardompardo,Andalucía,-4.000029,37.84345
493,Villatorres,Andalucía,-3.693636,37.92993
494,Cazorla,Andalucía,-2.964561,37.91185
495,Chilluévar,Andalucía,-3.034177,37.99088
496,Hinojares,Andalucía,-3.002886,37.72553
497,Huesa,Andalucía,-3.065506,37.69664
498,La Iruela,Andalucía,-2.930545,37.96507
499,Peal de Becerro,Andalucía,-3.098442,37.88054
500,Pozo Alcón,Andalucía,-2.94735,37.7124
501,Quesada,Andalucía,-3.087963,37.78207
502,Santo Tomé,Andalucía,-3.007792,38.01829
503,Andújar,Andalucía,-4.050335,38.22383
504,Arjona,Andalucía,-4.078377,37.92644
505,Arjonilla,Andalucía,-4.121934,37.98346
506,Cazalilla,Andalucía,-3.885016,37.95974
507,Escañuela,Andalucía,-4.031838,37.87549
508,Espelúy,Andalucía,-3.861705,38.02095
509,Lahiguera,Andalucía,-3.985971,37.9659
510,Lopera,Andalucía,-4.231861,37.96131
511,Marmolejo,Andalucía,-4.171153,38.06948
512,Villanueva de la Reina,Andalucía,-3.892538,38.14032
513,Arquillos,Andalucía,-3.41587,38.20595
514,Úbeda,Andalucía,-3.282232,38.14044
515,Castellar,Andalucía,-3.141763,38.29569
516,Chiclana de Segura,Andalucía,-2.987078,38.35253
517,Montizón,Andalucía,-3.101204,38.38495
518,Navas de San Juan,Andalucía,-3.336759,38.2193
519,Santisteban del Puerto,Andalucía,-3.250812,38.29838
520,Sorihuela del Guadalimar,Andalucía,-3.032299,38.23011
521,Vilches,Andalucía,-3.47924,38.22479
522,Úbeda,Andalucía,-3.309813,37.99095
523,Baeza,Andalucía,-3.490777,37.94537
524,Begíjar,Andalucía,-3.570138,37.97344
525,Canena,Andalucía,-3.502307,38.05884
526,Ibros,Andalucía,-3.540335,38.04917
527,Iznatoraf,Andalucía,-2.987153,38.13095
528,Lupión,Andalucía,-3.576772,38.01417
529,Rus,Andalucía,-3.454419,38.07773
530,Sabiote,Andalucía,-3.260245,38.0937
531,Sorihuela del Guadalimar,Andalucía,-2.849122,38.19311
532,Torreperogil,Andalucía,-3.240606,38.01166
533,Villacarrillo,Andalucía,-3.04062,38.08602
534,Villanueva del Arzobispo,Andalucía,-2.947066,38.17143
535,Arroyo del Ojanco,Andalucía,-2.887285,38.30881
536,Beas de Segura,Andalucía,-2.866326,38.25383
